shap_current_ratio,shap_quick_ratio,shap_cash_ratio,shap_roa,shap_roe,shap_net_debt_to_total_capital,shap_asset_turnover,shap_zscore_nonmanufacturing,shap_current_ratio_delta,shap_quick_ratio_delta,shap_cash_ratio_delta,shap_roa_delta,shap_roe_delta,shap_net_debt_to_total_capital_delta,shap_asset_turnover_delta,shap_zscore_nonmanufacturing_delta,company_name
1.8026128569630724,0.0,0.882965717658946,0.14027237455442637,0.019624571239301503,0.0,1.1111932398358824,0.9305608799559442,0.0,1.0466304013304053,0.3970180695891721,0.0,0.0,0.2241024879933152,0.08854013936201126,0.0,CapitaLand Malaysia Trust
0.9385372767446779,0.0,0.18063329862608318,0.4730026664462646,0.9562144286271029,0.5907905972465222,0.0,1.1696167569902134,0.0,1.2782296251349654,0.17538370909890677,0.0,0.0,0.3843732699335194,0.4935152136076093,0.0,Media Prima Bhd
1.1663264232751913,0.0,0.6538818653553803,0.0,0.0,0.0,1.2936195712338379,0.8405762137810872,0.07243120878991238,1.3649701442295248,0.16992383237896977,0.0,0.0,0.21829623158351696,0.6165358094039258,0.2221491242726615,Hua Yang Bhd
0.0,1.7309356796716944,0.6481711536297617,1.3347743105270553,-0.7028885832414573,0.0,-1.4327398064142718,-0.4789653340575635,0.0,1.6866611329301808,2.7735057449183693,0.4593682358492967,0.0,0.0,0.0,0.591820759448461,EWI Capital Bhd
0.36313597851549506,0.0,-0.5593822619233846,2.9220319490897806,0.0,-0.28856180324695946,0.0,0.6996488486008778,0.5336503262276192,0.0,0.32681182987356294,0.0,2.377373336962401,-0.4505459539961426,0.0,0.4302602255923603,Melewar Industrial Group Bhd
1.637143913851243,0.0,0.5931181773181814,0.3657010599344367,1.1172507789864938,0.0,0.3954843570046706,0.3266531240023214,0.0,0.7908107310012384,0.6155397345971297,0.0,0.0,0.41357930338127985,0.025470908350548882,0.0,M K Land Holdings Bhd
2.6440693147829664,0.0,0.7144454270841402,0.0,0.04493991333568395,0.0,0.7533536544737762,0.3051302012965512,0.0,0.7847106884939311,0.1731413819269338,0.0,0.0,0.6094500641535652,0.05035962810951933,0.14689251453854393,AmFIRST Real Estate Investment Trust
0.0,0.8553155372956164,0.0,-0.9306032279586096,-0.7196601419975199,6.961104561914186,0.20978306041378453,0.22007102189899178,0.0,0.4197764102870188,0.2350206427236996,0.0,-0.25950854768326065,-0.8305204111445855,0.0,0.0,Bursa Malaysia Bhd
-1.5764215088026612,0.17374638165086276,0.14297466092249422,0.0,0.0,0.6176353972087398,1.3181141203347915,0.3478543033707225,2.4922374316314375,0.8799173477961647,0.0,0.0,0.0,0.0,0.9452342650666757,0.44878900824856166,Cypark Resources Bhd
2.7376784931095868,-0.7106683247474423,1.06801528120853,0.0,0.0,-0.34281917247148186,0.9645163675118517,0.5700813707943901,-0.963243075792516,1.5685489368730703,0.24867500678622287,0.0,0.0,0.4984738846902442,0.0,0.0,UOA Real Estate Investment Trust
